label,class_name,accuracy,mean_mask_area,std_mask_area,min_mask_area,max_mask_area,q05_mask_area,q95_mask_area,n_samples,mean_conf
138,bustard,72.0,0.1431801273114979,0.10282332285390129,0.010712401010096,0.4901390969753265,0.018303593574091732,0.32096879035234444,50,0.5701723480969667
688,oscilloscope,72.0,0.5933856770396233,0.26153969189227216,0.1699306666851043,0.9892237186431884,0.2120956018567085,0.9611518144607544,50,0.6190226618945599
420,banjo,70.0,0.10089133974164721,0.08306739729979844,0.0108479997143149,0.3987553119659424,0.0152336649596691,0.24190270528197283,50,0.46138194382190706
458,brass,70.0,0.3708665804675547,0.2659135057896502,0.0002771084255073,0.8936777710914612,0.011398709798231686,0.8267011255025863,50,0.6861572450399399
727,planetarium,70.0,0.29997035600245,0.21383608410738789,0.0532586649060249,0.8105493187904358,0.065972801297903,0.734469923377037,50,0.5963711355626583
109,brain_coral,70.0,0.4302603815495968,0.30270236038328724,0.0534506663680076,0.998357355594635,0.08487360142171377,0.9980264157056808,50,0.572203797698021
251,dalmatian,70.0,0.27748091224581,0.1779782751241878,0.0280959997326135,0.6568426489830017,0.056772634759545276,0.6288181990385054,50,0.6098637899756432
25,European_fire_salamander,70.0,0.12854003049433227,0.10864419324546314,0.0285919997841119,0.7391015887260437,0.040558859892189485,0.24470214918255795,50,0.5933340452611446
147,grey_whale,70.0,0.16583648785948749,0.16133817547945578,0.0053518004715442,0.6503183245658875,0.014580533560365351,0.5040152281522748,50,0.5425850537419319
955,jackfruit,70.0,0.16936432829126713,0.1901253455280437,0.0132266664877533,0.9962342381477356,0.02179631758481259,0.5290349334478378,50,0.6392837673425674
946,cardoon,70.0,0.26157350279390806,0.18922300457515287,0.0319146662950515,0.840224027633667,0.0541340228170156,0.6786664813756941,50,0.6182713556289673
475,car_mirror,70.0,0.38214562244713307,0.20563179364084694,0.0269404761493206,0.8318399786949158,0.05561201535165304,0.7445002794265746,50,0.6576494701206684
426,barometer,70.0,0.5003950964286923,0.29910570469368475,0.0213866662234067,0.985519528388977,0.06030782051384446,0.9443858295679092,50,0.5922338432073593
537,dogsled,70.0,0.032561109362868546,0.050558050785807454,0.0,0.2413273304700851,0.00081120879913211,0.14603553414344775,50,0.6437541092932224
94,hummingbird,70.0,0.10941050551831717,0.06811384860222437,0.0021472685039043,0.298088014125824,0.01225734739564352,0.22384829744696616,50,0.58010144546628
625,lifeboat,70.0,0.1619373621512204,0.1455641668643683,0.0029510087333619,0.6899158954620361,0.007513396721333231,0.39928028583526587,50,0.6749281990528107
0,tench,68.0,0.1328153304383158,0.08035606889651632,0.0082453330978751,0.2961173355579376,0.024947466701269076,0.2690853372216224,50,0.606348035633564
581,grille,68.0,0.17249879957176742,0.19795121396716242,0.0040231212042272,0.9357759952545166,0.01039839982986449,0.5913320034742353,50,0.6103739368915558
88,macaw,68.0,0.3945280710607767,0.25331597477906453,0.0615062974393367,0.9945563673973083,0.0884932495653629,0.9018999010324473,50,0.6531652487814427
105,koala,68.0,0.351599741387181,0.22535533494161925,0.0022239999379962,0.998113751411438,0.026230399776250093,0.6765345454216001,50,0.6037679600715637
85,quail,68.0,0.12697723671328273,0.09038258715984447,0.0031999999191612,0.5064520239830017,0.02113765929825597,0.25869019776582713,50,0.6090254361182451
22,bald_eagle,68.0,0.21847591579891737,0.15806619887263046,0.0063636363483965,0.6063200235366821,0.04400184471160165,0.52844320833683,50,0.6092203292250633
392,rock_beauty,68.0,0.18630273886024948,0.1276244981240617,0.0167707372456789,0.474440336227417,0.021671089716255636,0.4010168701410293,50,0.7180315288901329
417,balloon,68.0,0.29436532006831834,0.2581060387273929,0.0009919999865815,0.9772513508796692,0.005573066743090685,0.8277184098958968,50,0.6419310054183006
333,hamster,68.0,0.3117102678120136,0.13411711660612932,0.033749334514141,0.5556371212005615,0.09569973647594449,0.5227465242147445,50,0.5665854573249817
